Symbol,Trade DATE,NOCP
COST,5/9/19,243.47
COST,5/8/19,241.34
COST,5/7/19,240.18
COST,5/6/19,244.23
COST,5/3/19,244.62
COST,5/2/19,242.69
COST,5/1/19,241.59
COST,4/30/19,245.53
COST,4/29/19,244.28
COST,4/26/19,243.82
COST,4/25/19,245.6
COST,4/24/19,247.96
COST,4/23/19,245.58
COST,4/22/19,243.42
COST,4/18/19,245.81
COST,4/17/19,245.56
COST,4/16/19,245.34
COST,4/15/19,246.33
COST,4/12/19,241.95
COST,4/11/19,241.24
COST,4/10/19,245.61
COST,4/9/19,244.91
COST,4/8/19,246.52
COST,4/5/19,245.87
COST,4/4/19,244.4
COST,4/3/19,242.48
COST,4/2/19,240.5
COST,4/1/19,244.19
COST,3/29/19,242.14
COST,3/28/19,241.22
COST,3/27/19,239.41
COST,3/26/19,239.07
COST,3/25/19,236.97
COST,3/22/19,237.56
COST,3/21/19,239.54
COST,3/20/19,236.98
COST,3/19/19,237.05
COST,3/18/19,236.59
COST,3/15/19,233.6
COST,3/14/19,233.84
COST,3/13/19,236.38
COST,3/12/19,232.96
COST,3/11/19,229.69
COST,3/8/19,227.82
COST,3/7/19,216.79
COST,3/6/19,219.23
COST,3/5/19,219.82
COST,3/4/19,218.41
COST,3/1/19,219.44
COST,2/28/19,218.74
COST,2/27/19,218.05
COST,2/26/19,217.61
COST,2/25/19,217.05
COST,2/22/19,216.29
COST,2/21/19,215.23
COST,2/20/19,217.11
COST,2/19/19,218.12
COST,2/15/19,216.47
COST,2/14/19,213.84
COST,2/13/19,212.8
COST,2/12/19,211.9
COST,2/11/19,208.72
COST,2/8/19,207.75
COST,2/7/19,209.05
COST,2/6/19,211.6
COST,2/5/19,211.61
COST,2/4/19,211.18
COST,2/1/19,210.27
COST,1/31/19,214.63
COST,1/30/19,211.35
COST,1/29/19,210.31
COST,1/28/19,210.77
COST,1/25/19,209.07
COST,1/24/19,210.31
COST,1/23/19,212.09
COST,1/22/19,212.4
COST,1/18/19,213.59
COST,1/17/19,211.46
COST,1/16/19,210.18
COST,1/15/19,211.03
COST,1/14/19,209
COST,1/11/19,210.51
COST,1/10/19,210.64
COST,1/9/19,209.9
COST,1/8/19,208.55
COST,1/7/19,207
COST,1/4/19,206.24
COST,1/3/19,200.42
COST,1/2/19,204.76
COST,12/31/18,203.71
COST,12/28/18,202.04
COST,12/27/18,201.08
COST,12/26/18,198.63
COST,12/24/18,189.99
COST,12/21/18,194.52
COST,12/20/18,197.13
COST,12/19/18,201.41
COST,12/18/18,202.99
COST,12/17/18,202.23
COST,12/14/18,207.06
COST,12/13/18,226.51
COST,12/12/18,227.8
COST,12/11/18,226.5
COST,12/10/18,222.66
COST,12/7/18,224.86
COST,12/6/18,233.2
COST,12/4/18,226.35
COST,12/3/18,232.08
COST,11/30/18,231.28
COST,11/29/18,231
