Symbol,Trade DATE,NOCP
GOOG,5/9/19,1162.38
GOOG,5/8/19,1166.27
GOOG,5/7/19,1174.1
GOOG,5/6/19,1189.39
GOOG,5/3/19,1185.4
GOOG,5/2/19,1162.61
GOOG,5/1/19,1168.08
GOOG,4/30/19,1188.48
GOOG,4/29/19,1287.58
GOOG,4/26/19,1272.18
GOOG,4/25/19,1263.45
GOOG,4/24/19,1256
GOOG,4/23/19,1264.55
GOOG,4/22/19,1248.84
GOOG,4/18/19,1236.37
GOOG,4/17/19,1236.34
GOOG,4/16/19,1227.13
GOOG,4/15/19,1221.1
GOOG,4/12/19,1217.87
GOOG,4/11/19,1204.62
GOOG,4/10/19,1202.16
GOOG,4/9/19,1197.25
GOOG,4/8/19,1203.84
GOOG,4/5/19,1207.15
GOOG,4/4/19,1215
GOOG,4/3/19,1205.92
GOOG,4/2/19,1200.49
GOOG,4/1/19,1194.43
GOOG,3/29/19,1173.31
GOOG,3/28/19,1168.49
GOOG,3/27/19,1173.02
GOOG,3/26/19,1184.62
GOOG,3/25/19,1193
GOOG,3/22/19,1205.5
GOOG,3/21/19,1231.54
GOOG,3/20/19,1223.97
GOOG,3/19/19,1198.85
GOOG,3/18/19,1184.26
GOOG,3/15/19,1184.46
GOOG,3/14/19,1185.55
GOOG,3/13/19,1193.32
GOOG,3/12/19,1193.2
GOOG,3/11/19,1175.76
GOOG,3/8/19,1142.32
GOOG,3/7/19,1143.3
GOOG,3/6/19,1157.86
GOOG,3/5/19,1162.03
GOOG,3/4/19,1147.8
GOOG,3/1/19,1140.99
GOOG,2/28/19,1119.92
GOOG,2/27/19,1116.05
GOOG,2/26/19,1115.13
GOOG,2/25/19,1109.4
GOOG,2/22/19,1110.37
GOOG,2/21/19,1096.97
GOOG,2/20/19,1113.8
GOOG,2/19/19,1118.56
GOOG,2/15/19,1113.65
GOOG,2/14/19,1121.67
GOOG,2/13/19,1120.16
GOOG,2/12/19,1121.37
GOOG,2/11/19,1095.01
GOOG,2/8/19,1095.06
GOOG,2/7/19,1098.71
GOOG,2/6/19,1115.23
GOOG,2/5/19,1145.99
GOOG,2/4/19,1132.8
GOOG,2/1/19,1110.75
GOOG,1/31/19,1116.37
GOOG,1/30/19,1089.06
GOOG,1/29/19,1060.62
GOOG,1/28/19,1070.08
GOOG,1/25/19,1090.99
GOOG,1/24/19,1073.9
GOOG,1/23/19,1075.57
GOOG,1/22/19,1070.52
GOOG,1/18/19,1098.26
GOOG,1/17/19,1089.9
GOOG,1/16/19,1080.97
GOOG,1/15/19,1077.15
GOOG,1/14/19,1044.69
GOOG,1/11/19,1057.19
GOOG,1/10/19,1070.33
GOOG,1/9/19,1074.66
GOOG,1/8/19,1076.28
GOOG,1/7/19,1068.39
GOOG,1/4/19,1070.71
GOOG,1/3/19,1016.06
GOOG,1/2/19,1045.85
GOOG,12/31/18,1035.61
GOOG,12/28/18,1037.08
GOOG,12/27/18,1043.88
GOOG,12/26/18,1039.46
GOOG,12/24/18,976.22
GOOG,12/21/18,979.54
GOOG,12/20/18,1009.41
GOOG,12/19/18,1023.01
GOOG,12/18/18,1028.71
GOOG,12/17/18,1016.53
GOOG,12/14/18,1042.1
GOOG,12/13/18,1061.9
GOOG,12/12/18,1063.68
GOOG,12/11/18,1051.75
GOOG,12/10/18,1039.55
GOOG,12/7/18,1036.58
GOOG,12/6/18,1068.73
GOOG,12/4/18,1050.82
GOOG,12/3/18,1106.43
GOOG,11/30/18,1094.43
GOOG,11/29/18,1088.3
GOOG,11/28/18,1086.23
GOOG,11/27/18,1044.41
GOOG,11/26/18,1048.62
GOOG,11/23/18,1023.88
GOOG,11/21/18,1037.61
GOOG,11/20/18,1025.76
GOOG,11/19/18,1020
GOOG,11/16/18,1061.49
GOOG,11/15/18,1064.71
