Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC
3/2/15,,,,
3/3/15,-0.001265508,-0.004980519,-0.000495532,-0.00656867
3/4/15,0.002229913,0.00324128,-0.002533977,0.004213019
3/5/15,0.004016002,0.004076053,0.002354657,0.00672633
3/6/15,-0.007905357,-0.003574034,-0.008481173,-0.013098061
3/9/15,0.00058228,0.00422541,0.005842736,-0.001652455
3/10/15,-0.010262967,-0.005340724,-0.012079154,-0.009739028
3/11/15,0.004011921,0.005163143,0.003311826,-0.001146676
3/12/15,0.00826463,0.010271619,0.01311689,0.010801418
3/13/15,-0.002497275,-0.001428416,-0.003697187,-0.008142218
3/16/15,0.007900621,0.003582534,0.007953005,0.008054624
3/17/15,0.002141904,0.002928106,-0.000687182,0.000384357
3/18/15,0.009602759,0.007513097,0.00955688,0.007853525
3/19/15,-0.000778477,-0.002554227,-0.002925094,0.002362937
3/20/15,0.0096573,0.000983377,0.007390779,0.007104656
3/23/15,-6.67E-05,-0.0005135,-0.000108753,0.000591099
3/24/15,-0.002570523,-0.004808023,-0.003320926,-0.001012994
3/25/15,-0.006156197,-0.008018356,-0.011171537,-0.014567301
3/26/15,-0.00209788,-0.000592914,-0.001034535,-0.001211623
3/27/15,-7.50E-05,0.002087889,0.002189585,0.004775707
3/30/15,0.008112674,0.002219686,0.008616824,0.005227895
3/31/15,-0.005444593,-0.003021171,-0.003968001,0.00185806
4/1/15,0.000918528,0.000156815,-0.002001537,-0.003865396
4/2/15,0.002561296,0.004299034,0.00305813,0.00196643
4/6/15,0.005367594,0.003763108,0.004631174,0.004920475
4/7/15,-0.001242609,-0.000171479,-0.002059815,0.00188225
4/8/15,0.006185463,0.012652294,0.003452016,0.012351575
4/9/15,0.004035616,0.003231504,-0.000452619,-0.001904683
4/10/15,-9.02E-05,0.001230213,0.002385874,0.001661398
4/13/15,-0.003447611,-0.002766344,-0.004071748,-0.003073782
4/14/15,0.003392775,0.002021444,0.002141971,0.007515956
4/15/15,0.00475577,0.001752668,0.003753945,0.004871806
4/16/15,-0.002110842,-0.003231826,0.000510125,0.000102473
4/17/15,-0.009431568,-0.002200963,-0.010617456,-0.013045667
4/20/15,-0.000507573,0.001238745,0.006252429,0.000780097
4/21/15,0.00426572,0.004629489,0.004878592,0.007804664
4/22/15,0.00097416,-0.000827268,0.008590965,0.003767685
4/23/15,0.001066555,0.002972371,0.000736444,0.007060748
4/24/15,0.003218163,0.000466606,0.001550174,0.0002595
